Date,Traffic_Mawa,Traffic_Jajira,Cash_Mawa,Cash_Jajira,Total_Traffic,Total_Cash
12/09/2022,5607,4578,8264850,7028300,10185,15293150
12/10/2022,2595,3076,3736550,4380600,5671,8117150
12/11/2022,4898,6391,7322300,9833100,11289,17155400
12/12/2022,6654,6533,10328900,10265400,13187,20594300
13/12/2022,6573,6626,10165950,10381050,13199,20547000
14/12/2022,7026,6845,10591750,10619450,13871,21211200
15/12/2022,8310,7195,11877600,11170200,15505,23047800
16/12/2022,10625,9161,14601850,12995100,19786,27596950
17/12/2022,6979,8690,9895600,12102500,15669,21998100
18/12/2022,6715,7265,10168800,10705550,13980,20874350
19/12/2022,7036,7232,10415100,10851650,14268,21266750
20/12/2022,7480,7215,11173150,10801050,14695,21974200
21/12/2022,7856,7595,11600950,11513000,15451,23113950
22/12/2022,9981,7956,14071750,11953250,17937,26025000
23/12/2022,12718,10107,16933450,14267400,22825,31200850
24/12/2022,8558,8882,11908650,12365950,17440,24274600
25/12/2022,9119,10645,12764850,13664800,19764,26429650
26/12/2022,7346,9609,10852450,13579150,16955,24431600
27/12/2022,7818,8020,11725100,11886900,15838,23612000
28/12/2022,7888,7725,11764800,11528550,15613,23293350
29/12/2022,8580,7807,12839250,11647250,16387,24486500
30/12/2022,10089,9401,14621200,13382450,19490,28003650
31/12/2022,7619,9386,11245050,13041350,17005,24286400
01/01/2023,7107,7629,10633250,10987900,14736,21621150
01/02/2023,6810,7294,10357600,11137250,14104,21494850
01/03/2023,7569,6847,11758900,10515650,14416,22274550
01/04/2023,6836,7791,10285800,12075200,14627,22361000
01/05/2023,7775,6991,11179500,10533750,14766,21713250
01/06/2023,8957,8646,12576800,12383700,17603,24960500
01/07/2023,6552,8198,9425800,11338200,14750,20764000
01/08/2023,6458,7026,9777650,10495500,13484,20273150
01/09/2023,6680,6699,10307750,10424250,13379,20732000
01/10/2023,6738,6671,10464550,10213800,13409,20678350
01/11/2023,6768,7292,10248150,11404200,14060,21652350
01/12/2023,7495,7085,10829500,10863800,14580,21693300
13/01/2023,9046,8531,12919100,12408000,17577,25327100
14/01/2023,6938,8007,10115400,11232550,14945,21347950
15/01/2023,6970,7267,10716900,10869200,14237,21586100
16/01/2023,6787,7051,10483700,10823400,13838,21307100
17/01/2023,6837,6630,10432750,10187500,13467,20620250
18/01/2023,6916,7112,10521350,11029500,14028,21550850
19/01/2023,7828,7255,11485150,11351450,15083,22836600
20/01/2023,9504,8587,13596050,12470400,18091,26066450
21/01/2023,7006,8207,10223200,11669100,15213,21892300
22/01/2023,6663,7152,10223800,10666750,13815,20890550
23/01/2023,6967,6954,10722650,10673300,13921,21395950
24/01/2023,6764,6757,10363400,10490250,13521,20853650
25/01/2023,7231,6826,10722950,10517100,14057,21240050
26/01/2023,8278,7465,11923400,11562300,15743,23485700
27/01/2023,9581,8844,13453550,12490950,18425,25944500
28/01/2023,7116,8681,10387300,12043700,15797,22431000
29/01/2023,6533,7375,9941400,10942900,13908,20884300
30/01/2023,6768,7108,10510550,10866850,13876,21377400
31/01/2023,6881,6980,10603950,10707300,13861,21311250
02/01/2023,7132,6942,10857200,10739050,14074,21596250
02/02/2023,8188,7067,12072900,11014400,15255,23087300
02/03/2023,9516,8970,13341600,12878100,18486,26219700
02/04/2023,7001,8288,10398750,11708350,15289,22107100
02/05/2023,6685,7594,10213400,11432000,14279,21645400
02/06/2023,6690,6837,10325800,10654550,13527,20980350
02/07/2023,6690,6618,10439500,10367300,13308,20806800
02/08/2023,6668,6832,10236300,10778900,13500,21015200
02/09/2023,7808,7160,11599900,11203350,14968,22803250
02/10/2023,9370,8781,13233500,12788850,18151,26022350
02/11/2023,6990,8419,10347500,11982400,15409,22329900
02/12/2023,6787,6974,10548150,10485100,13761,21033250
13/02/2023,6855,7138,10703400,11306600,13993,22010000
14/02/2023,6898,6890,10913300,10813850,13788,21727150
15/02/2023,6936,6991,10612200,11137800,13927,21750000
16/02/2023,8528,7470,12574250,11814300,15998,24388550
17/02/2023,10091,9077,14342400,13388300,19168,27730700
18/02/2023,7882,8753,11797000,12316750,16635,24113750
19/02/2023,7058,7807,10856350,11689400,14865,22545750
20/02/2023,8190,7282,12431000,11457850,15472,23888850
21/02/2023,8631,10456,12565200,15525050,19087,28090250
22/02/2023,6521,6847,9847550,10526200,13368,20373750
23/02/2023,8010,7242,11795900,11306500,15252,23102400
24/02/2023,9764,9062,13972150,13115500,18826,27087650
25/02/2023,6951,8405,10415350,11594100,15356,22009450
26/02/2023,6807,7702,10588150,11603550,14509,22191700
27/02/2023,6991,6984,10880800,10862200,13975,21743000
28/02/2023,7280,7182,11134000,11265800,14462,22399800
03/01/2023,7186,7129,11139900,11136650,14315,22276550
03/02/2023,7796,7305,11732100,11631700,15101,23363800
03/03/2023,9269,8778,13165950,12912800,18047,26078750
03/04/2023,6866,8130,10315500,11669400,14996,21984900
03/05/2023,6654,7323,10291550,11337100,13977,21628650
03/06/2023,7101,7304,10989550,11655750,14405,22645300
03/07/2023,7306,7094,11352400,11239850,14400,22592250
